sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:variable_name,ADD_INFO:variable_description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
41,Rarely or none of the time (less than 1 day),1943,,a_emobth,k1 - Respondent was unusually bothered in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788971987888,
111,HIV/AIDS,68,,hiv_aids,Diagnosed with HIV/AIDS,0.81,APPROVED,EQUAL,Reinp,1789032878269,4267414,AIDS,Condition,MAPS_TO,,Reinp,1789032808571,
63,felt fearful in past week,2903,,a_emofear,k6 - Respondent felt fearful in past week?,0.61,APPROVED,EQUAL,Reinp,1788973464749,1761739,Feeling fearful,Observation,MAPS_TO,,Reinp,1788973461220,
108,Asthma,107,,a_hlast,Diagnosed with asthma,1.00,APPROVED,EQUAL,Reinp,1788974303994,317009,Asthma,Condition,MAPS_TO,,Reinp,1788974295546,
85,Occasionally or a moderate amount of time (3-4 days),214,,a_emogo,k10 - Respondent could not get going,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971848905,
77,Some or little of the time (1-2 days),572,,a_emohap,k8 - Respondent was happy in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972422001,
25,Occupation status,2891,,occupation_status,Occupation status,0.76,APPROVED,EQUAL,Reinp,1789034101787,4073163,Employment status,Observation,MAPS_TO,,Reinp,1789034095188,
66,Rarely or none of the time (less than 1 day),1835,,a_emofear,k6 - Respondent felt fearful in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972041984,
76,Rarely or none of the time (less than 1 day),490,,a_emohap,k8 - Respondent was happy in past week?,0.62,APPROVED,EQUAL,Reinp,1788972098014,45883771,Rarely or never,Meas Value,MAPS_TO,,Reinp,1788972059862,
26,Employed,1013,,occupation_status,Occupation status,1.00,APPROVED,EQUAL,Reinp,1788969170256,4076340,Employed,Observation,MAPS_TO,,<auto>,1788968807608,
109,heart problems,88,,a_hlhrt,Diagnosed with heart problems,1.00,APPROVED,EQUAL,Reinp,1788975691513,321588,Heart disease,Condition,MAPS_TO,,Reinp,1788975679842,
42,Some or little of the time (1-2 days),702,,a_emobth,k1 - Respondent was unusually bothered in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972350830,
64,All of the time (5-7 days),73,,a_emofear,k6 - Respondent felt fearful in past week?,0.45,APPROVED,EQUAL,Reinp,1788971500833,45883772,All of the time,Meas Value,MAPS_TO,,Reinp,1788971450654,
94,Overweight (25–29.9),690,,adult_bmi_group,BMI (kg/m2) grouped,0.42,APPROVED,EQUAL,Reinp,1789030768676,437525,Overweight,Condition,MAPS_TO,,Reinp,1789030763842,
78,felt lonely in past week,2904,,a_emolone,k9 - Respondent felt lonely in past week?,0.64,APPROVED,EQUAL,Reinp,1788974028313,1761319,Feeling lonely,Observation,MAPS_TO,,Reinp,1788974021969,
95,Underweight (<18.5),124,,adult_bmi_group,BMI (kg/m2) grouped,0.49,APPROVED,EQUAL,Reinp,1789030786874,435372,Underweight,Condition,MAPS_TO,,<auto>,1788968812764,
27,Not Economically Active,1326,,occupation_status,Occupation status,0.53,APPROVED,EQUAL,Reinp,1789035785884,45884887,Inactive,Meas Value,MAPS_TO,,Reinp,1789035779410,
67,Some or little of the time (1-2 days),764,,a_emofear,k6 - Respondent felt fearful in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972402501,
52,Some or little of the time (1-2 days),898,,a_emodep,k3 - Respondent felt depressed in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972362871,
28,Self-employed,145,,occupation_status,Occupation status,1.00,APPROVED,EQUAL,Reinp,1788969164879,4059636,Self-employed,Observation,MAPS_TO,,<auto>,1788968816509,
96,Waist circumference,2788,,adult_waist,Waist measure (cm),1.00,APPROVED,EQUAL,Reinp,1788969023808,4172830,Waist circumference,Measurement,MAPS_TO,,<auto>,1788968816587,
