2025-11-09 18:35:30	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: COHORT_DEFINITION] [CDM Field: DEFINITION_TYPE_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 432 An error report has been created at  dqd_output/errors/FIELD_cdmField_COHORT_DEFINITION_DEFINITION_TYPE_CONCEPT_ID.txt
2025-11-09 18:35:30	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: COHORT_DEFINITION] [CDM Field: SUBJECT_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 424 An error report has been created at  dqd_output/errors/FIELD_cdmField_COHORT_DEFINITION_SUBJECT_CONCEPT_ID.txt
2025-11-09 18:35:45	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isRequired
2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT] [CDM Field: COHORT_DEFINITION_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 467 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_COHORT_DEFINITION_ID.txt
2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT] [CDM Field: COHORT_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 462 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_COHORT_END_DATE.txt
2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT] [CDM Field: COHORT_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 464 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_COHORT_START_DATE.txt
2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT] [CDM Field: SUBJECT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 457 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_SUBJECT_ID.txt
2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT_DEFINITION] [CDM Field: COHORT_DEFINITION_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 478 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_DEFINITION_COHORT_DEFINITION_ID.txt
2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT_DEFINITION] [CDM Field: COHORT_DEFINITION_NAME] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 480 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_DEFINITION_COHORT_DEFINITION_NAME.txt
2025-11-09 18:35:46	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isRequired] [CDM Table: COHORT_DEFINITION] [CDM Field: DEFINITION_TYPE_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 484 An error report has been created at  dqd_output/errors/FIELD_isRequired_COHORT_DEFINITION_DEFINITION_TYPE_CONCEPT_ID.txt
